X,Y,DAM_ID,Latitud,Longitud,Watershed,Sub Basin,Groupe,Region,icon_url
-72.07955835,43.39565975,"1001311.0","43.39566","-72.079558","Upper Connecticut-Mascoma. New Hampshire, Vermont.",Upper Connecticut,Connecticut,New England,./0.png
-72.23789105,43.27066025,"1001314.0","43.27066","-72.237891","Upper Connecticut-Mascoma. New Hampshire, Vermont.",Upper Connecticut,Connecticut,New England,./0.png
-72.48789005,42.77066225,"1001340.0","42.770662","-72.48789","Middle Connecticut. Massachusetts, New Hampshire, Vermont.",Lower Connecticut,Connecticut,New England,./0.png
-72.01289195,42.70399585,"1001342.0","42.703996","-72.012892","Miller. Massachusetts, New Hampshire.",Lower Connecticut,Connecticut,New England,./0.png
-72.43789025,42.61232955,"1001345.0","42.61233","-72.43789","Miller. Massachusetts, New Hampshire.",Lower Connecticut,Connecticut,New England,./0.png
-73.05455445,42.15399805,"1001357.0","42.153998","-73.054554","Farmington. Connecticut, Massachusetts.",Lower Connecticut,Connecticut,New England,./0.png
-73.08788765,41.92066565,"1001363.0","41.920666","-73.087888","Farmington. Connecticut, Massachusetts.",Lower Connecticut,Connecticut,New England,./0.png
-72.95455485,41.88733245,"1001365.0","41.887332","-72.954555","Farmington. Connecticut, Massachusetts.",Lower Connecticut,Connecticut,New England,./0.png
-72.42955695,41.87066585,"1001367.0","41.870666","-72.429557","Lower Connecticut. Connecticut, Massachusetts.",Lower Connecticut,Connecticut,New England,./0.png
-72.943781,41.818075,"1002979.0","41.818075","-72.943781","Farmington. Connecticut, Massachusetts.",Lower Connecticut,Connecticut,New England,./0.png
-72.952272,42.972873,"1002980.0","42.972873","-72.952272","Deerfield. Massachusetts, Vermont.",Lower Connecticut,Connecticut,New England,./0.png
-72.959948,42.683732,"1002981.0","42.683732","-72.959948","Deerfield. Massachusetts, Vermont.",Lower Connecticut,Connecticut,New England,./0.png
-72.550282,42.61149,"1002987.0","42.61149","-72.550282","Middle Connecticut. Massachusetts, New Hampshire, Vermont.",Lower Connecticut,Connecticut,New England,./0.png
-72.303315,43.667216,"1002989.0","43.667216","-72.303315","Upper Connecticut-Mascoma. New Hampshire, Vermont.",Upper Connecticut,Connecticut,New England,./0.png
-72.290427,42.073444,"1002990.0","42.073444","-72.290427",Chicopee. Massachusetts.,Lower Connecticut,Connecticut,New England,./0.png
-73.090809,41.934918,"1012047.0","41.934918","-73.090809","Farmington. Connecticut, Massachusetts.",Lower Connecticut,Connecticut,New England,./0.png
-73.106529,42.138435,"1012048.0","42.138435","-73.106529","Farmington. Connecticut, Massachusetts.",Lower Connecticut,Connecticut,New England,./0.png
-73.115557,42.090311,"1012049.0","42.090311","-73.115557","Farmington. Connecticut, Massachusetts.",Lower Connecticut,Connecticut,New England,./0.png
-73.035099,42.008633,"1012060.0","42.008633","-73.035099","Farmington. Connecticut, Massachusetts.",Lower Connecticut,Connecticut,New England,./0.png
-73.019551,41.989778,"1012063.0","41.989778","-73.019551","Farmington. Connecticut, Massachusetts.",Lower Connecticut,Connecticut,New England,./0.png
